,Station,Arrive,Depart,Train,index
2540,小田原,2021-11-30 08:30:00,2021-11-30 08:30:00,06-26-熱海-普通,21.5
867,早川,2021-11-30 08:32:00,2021-11-30 08:32:00,06-26-熱海-普通,22.0
2541,早川,2021-11-30 08:33:00,2021-11-30 08:33:00,06-26-熱海-普通,22.5
868,根府川,2021-11-30 08:39:00,2021-11-30 08:39:00,06-26-熱海-普通,23.0
2542,根府川,2021-11-30 08:43:00,2021-11-30 08:43:00,06-26-熱海-普通,23.5
869,真鶴,2021-11-30 08:48:00,2021-11-30 08:48:00,06-26-熱海-普通,24.0
870,湯河原,2021-11-30 08:52:00,2021-11-30 08:52:00,06-26-熱海-普通,25.0
871,熱海,2021-11-30 08:59:00,,06-26-熱海-普通,26.0
647,大宮(埼玉),2021-11-30 06:36:00,2021-11-30 06:36:00,06-37-上野-普通,0.0
648,さいたま新都心,2021-11-30 06:39:00,2021-11-30 06:39:00,06-37-上野-普通,1.0
2426,さいたま新都心,2021-11-30 06:40:00,2021-11-30 06:40:00,06-37-上野-普通,1.5
649,浦和,2021-11-30 06:44:00,2021-11-30 06:44:00,06-37-上野-普通,2.0
650,赤羽,2021-11-30 06:52:00,2021-11-30 06:52:00,06-37-上野-普通,3.0
651,尾久,2021-11-30 06:57:00,2021-11-30 06:57:00,06-37-上野-普通,4.0
652,上野,2021-11-30 07:02:00,,06-37-上野-普通,5.0
822,大宮(埼玉),2021-11-30 06:40:00,2021-11-30 06:40:00,06-41-上野-スワローあかぎ,0.0
823,浦和,2021-11-30 06:47:00,2021-11-30 06:47:00,06-41-上野-スワローあかぎ,1.0
2518,浦和,2021-11-30 06:48:00,2021-11-30 06:48:00,06-41-上野-スワローあかぎ,1.5
824,赤羽,2021-11-30 06:55:00,2021-11-30 06:55:00,06-41-上野-スワローあかぎ,2.0
2519,赤羽,2021-11-30 06:56:00,2021-11-30 06:56:00,06-41-上野-スワローあかぎ,2.5
825,上野,2021-11-30 07:05:00,,06-41-上野-スワローあかぎ,3.0
1131,大宮(埼玉),2021-11-30 06:44:00,2021-11-30 06:44:00,06-45-国府津-普通,0.0
1132,さいたま新都心,2021-11-30 06:47:00,2021-11-30 06:47:00,06-45-国府津-普通,1.0
2690,さいたま新都心,2021-11-30 06:48:00,2021-11-30 06:48:00,06-45-国府津-普通,1.5
1133,浦和,2021-11-30 06:52:00,2021-11-30 06:52:00,06-45-国府津-普通,2.0
1134,赤羽,2021-11-30 07:00:00,2021-11-30 07:00:00,06-45-国府津-普通,3.0
2691,赤羽,2021-11-30 07:01:00,2021-11-30 07:01:00,06-45-国府津-普通,3.5
1135,尾久,2021-11-30 07:05:00,2021-11-30 07:05:00,06-45-国府津-普通,4.0
1136,上野,2021-11-30 07:11:00,2021-11-30 07:11:00,06-45-国府津-普通,5.0
2692,上野,2021-11-30 07:12:00,2021-11-30 07:12:00,06-45-国府津-普通,5.5
1137,東京,2021-11-30 07:16:00,2021-11-30 07:16:00,06-45-国府津-普通,6.0
2693,東京,2021-11-30 07:17:00,2021-11-30 07:17:00,06-45-国府津-普通,6.5
1138,新橋,2021-11-30 07:20:00,2021-11-30 07:20:00,06-45-国府津-普通,7.0
1139,品川,2021-11-30 07:25:00,2021-11-30 07:25:00,06-45-国府津-普通,8.0
2694,品川,2021-11-30 07:26:00,2021-11-30 07:26:00,06-45-国府津-普通,8.5
1140,川崎,2021-11-30 07:35:00,2021-11-30 07:35:00,06-45-国府津-普通,9.0
2695,川崎,2021-11-30 07:36:00,2021-11-30 07:36:00,06-45-国府津-普通,9.5
1141,横浜,2021-11-30 07:43:00,2021-11-30 07:43:00,06-45-国府津-普通,10.0
2696,横浜,2021-11-30 07:44:00,2021-11-30 07:44:00,06-45-国府津-普通,10.5
1142,戸塚,2021-11-30 07:54:00,2021-11-30 07:54:00,06-45-国府津-普通,11.0
2697,戸塚,2021-11-30 07:55:00,2021-11-30 07:55:00,06-45-国府津-普通,11.5
1143,大船,2021-11-30 08:00:00,2021-11-30 08:00:00,06-45-国府津-普通,12.0
2698,大船,2021-11-30 08:01:00,2021-11-30 08:01:00,06-45-国府津-普通,12.5
1144,藤沢,2021-11-30 08:06:00,2021-11-30 08:06:00,06-45-国府津-普通,13.0
1145,辻堂,2021-11-30 08:10:00,2021-11-30 08:10:00,06-45-国府津-普通,14.0
1146,茅ケ崎,2021-11-30 08:14:00,2021-11-30 08:14:00,06-45-国府津-普通,15.0
1147,平塚,2021-11-30 08:20:00,2021-11-30 08:20:00,06-45-国府津-普通,16.0
2699,平塚,2021-11-30 08:23:00,2021-11-30 08:23:00,06-45-国府津-普通,16.5
1148,大磯,2021-11-30 08:27:00,2021-11-30 08:27:00,06-45-国府津-普通,17.0
1149,二宮,2021-11-30 08:31:00,2021-11-30 08:31:00,06-45-国府津-普通,18.0
2700,二宮,2021-11-30 08:32:00,2021-11-30 08:32:00,06-45-国府津-普通,18.5
1150,国府津,2021-11-30 08:36:00,,06-45-国府津-普通,19.0
790,大宮(埼玉),2021-11-30 06:49:00,2021-11-30 06:49:00,06-50-上野-普通,0.0
791,さいたま新都心,2021-11-30 06:52:00,2021-11-30 06:52:00,06-50-上野-普通,1.0
792,浦和,2021-11-30 06:56:00,2021-11-30 06:56:00,06-50-上野-普通,2.0
2504,浦和,2021-11-30 06:57:00,2021-11-30 06:57:00,06-50-上野-普通,2.5
793,赤羽,2021-11-30 07:05:00,2021-11-30 07:05:00,06-50-上野-普通,3.0
2505,赤羽,2021-11-30 07:06:00,2021-11-30 07:06:00,06-50-上野-普通,3.5
794,尾久,2021-11-30 07:10:00,2021-11-30 07:10:00,06-50-上野-普通,4.0
795,上野,2021-11-30 07:16:00,,06-50-上野-普通,5.0
916,大宮(埼玉),2021-11-30 06:56:00,2021-11-30 06:56:00,06-58-小田原-普通,0.0
917,さいたま新都心,2021-11-30 07:01:00,2021-11-30 07:01:00,06-58-小田原-普通,1.0
918,浦和,2021-11-30 07:05:00,2021-11-30 07:05:00,06-58-小田原-普通,2.0
2565,浦和,2021-11-30 07:06:00,2021-11-30 07:06:00,06-58-小田原-普通,2.5
919,赤羽,2021-11-30 07:14:00,2021-11-30 07:14:00,06-58-小田原-普通,3.0
2566,赤羽,2021-11-30 07:15:00,2021-11-30 07:15:00,06-58-小田原-普通,3.5
920,尾久,2021-11-30 07:19:00,2021-11-30 07:19:00,06-58-小田原-普通,4.0
2567,尾久,2021-11-30 07:20:00,2021-11-30 07:20:00,06-58-小田原-普通,4.5
921,上野,2021-11-30 07:26:00,2021-11-30 07:26:00,06-58-小田原-普通,5.0
2568,上野,2021-11-30 07:29:00,2021-11-30 07:29:00,06-58-小田原-普通,5.5
922,東京,2021-11-30 07:34:00,2021-11-30 07:34:00,06-58-小田原-普通,6.0
2569,東京,2021-11-30 07:35:00,2021-11-30 07:35:00,06-58-小田原-普通,6.5
