,Station,Arrive,Depart,Train,index,Station_sequence
162,二宮,2021-11-30 09:08:00,2021-11-30 09:08:00,07-23-熱海-普通,18.0,二宮
2163,二宮,2021-11-30 09:09:00,2021-11-30 09:09:00,07-23-熱海-普通,18.5,二宮
163,国府津,2021-11-30 09:13:00,2021-11-30 09:13:00,07-23-熱海-普通,19.0,国府津
2164,国府津,2021-11-30 09:14:00,2021-11-30 09:14:00,07-23-熱海-普通,19.5,国府津
164,鴨宮,2021-11-30 09:17:00,2021-11-30 09:17:00,07-23-熱海-普通,20.0,鴨宮
165,小田原,2021-11-30 09:22:00,2021-11-30 09:22:00,07-23-熱海-普通,21.0,小田原
2165,小田原,2021-11-30 09:27:00,2021-11-30 09:27:00,07-23-熱海-普通,21.5,小田原
166,早川,2021-11-30 09:29:00,2021-11-30 09:29:00,07-23-熱海-普通,22.0,早川
2166,早川,2021-11-30 09:30:00,2021-11-30 09:30:00,07-23-熱海-普通,22.5,早川
167,根府川,2021-11-30 09:34:00,2021-11-30 09:34:00,07-23-熱海-普通,23.0,根府川
2167,根府川,2021-11-30 09:35:00,2021-11-30 09:35:00,07-23-熱海-普通,23.5,根府川
168,真鶴,2021-11-30 09:39:00,2021-11-30 09:39:00,07-23-熱海-普通,24.0,真鶴
2168,真鶴,2021-11-30 09:40:00,2021-11-30 09:40:00,07-23-熱海-普通,24.5,真鶴
169,湯河原,2021-11-30 09:43:00,2021-11-30 09:43:00,07-23-熱海-普通,25.0,湯河原
2169,湯河原,2021-11-30 09:44:00,2021-11-30 09:44:00,07-23-熱海-普通,25.5,湯河原
