,Station,Arrive,Depart,Train,index,Station_sequence
2913,平塚,2021-11-30 09:20:00,2021-11-30 09:20:00,07-39-国府津-快速,15.5,平塚
1546,大磯,2021-11-30 09:23:00,2021-11-30 09:23:00,07-39-国府津-快速,16.0,大磯
1547,二宮,2021-11-30 09:27:00,2021-11-30 09:27:00,07-39-国府津-快速,17.0,二宮
2914,二宮,2021-11-30 09:28:00,2021-11-30 09:28:00,07-39-国府津-快速,17.5,二宮
1548,国府津,2021-11-30 09:32:00,,07-39-国府津-快速,18.0,国府津
171,大宮(埼玉),2021-11-30 07:50:00,2021-11-30 07:50:00,07-52-平塚-快速,0.0,大宮(埼玉)
172,浦和,2021-11-30 07:58:00,2021-11-30 07:58:00,07-52-平塚-快速,1.0,浦和
2170,浦和,2021-11-30 07:59:00,2021-11-30 07:59:00,07-52-平塚-快速,1.5,浦和
173,赤羽,2021-11-30 08:08:00,2021-11-30 08:08:00,07-52-平塚-快速,2.0,赤羽
174,池袋,2021-11-30 08:19:00,2021-11-30 08:19:00,07-52-平塚-快速,3.0,尾久/池袋
2171,池袋,2021-11-30 08:20:00,2021-11-30 08:20:00,07-52-平塚-快速,3.5,尾久/池袋
175,新宿,2021-11-30 08:25:00,2021-11-30 08:25:00,07-52-平塚-快速,4.0,上野/新宿
2172,新宿,2021-11-30 08:26:00,2021-11-30 08:26:00,07-52-平塚-快速,4.5,上野/新宿
176,渋谷,2021-11-30 08:31:00,2021-11-30 08:31:00,07-52-平塚-快速,5.0,東京/渋谷
177,恵比寿,2021-11-30 08:33:00,2021-11-30 08:33:00,07-52-平塚-快速,6.0,新橋/恵比寿
2173,恵比寿,2021-11-30 08:34:00,2021-11-30 08:34:00,07-52-平塚-快速,6.5,新橋/恵比寿
178,大崎,2021-11-30 08:38:00,2021-11-30 08:38:00,07-52-平塚-快速,7.0,品川/大崎
179,武蔵小杉,2021-11-30 08:48:00,2021-11-30 08:48:00,07-52-平塚-快速,8.0,川崎/武蔵小杉
180,横浜,2021-11-30 09:00:00,2021-11-30 09:00:00,07-52-平塚-快速,9.0,横浜
2174,横浜,2021-11-30 09:01:00,2021-11-30 09:01:00,07-52-平塚-快速,9.5,横浜
