,Unnamed: 0,Station,Arrive,Depart,Train,index,Station_sequence
152,791,さいたま新都心,2021-11-30 00:03:00,2021-11-30 06:52:00,06-50-上野-普通,1.0,さいたま新都心
153,792,浦和,2021-11-30 00:07:00,2021-11-30 06:56:00,06-50-上野-普通,2.0,浦和
154,2504,浦和,2021-11-30 00:08:00,2021-11-30 06:57:00,06-50-上野-普通,2.5,浦和
155,793,赤羽,2021-11-30 00:16:00,2021-11-30 07:05:00,06-50-上野-普通,3.0,赤羽
156,2505,赤羽,2021-11-30 00:17:00,2021-11-30 07:06:00,06-50-上野-普通,3.5,赤羽
157,794,尾久,2021-11-30 00:21:00,2021-11-30 07:10:00,06-50-上野-普通,4.0,尾久/池袋
158,795,上野,2021-11-30 00:27:00,,06-50-上野-普通,5.0,上野/新宿
159,916,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 06:56:00,06-58-小田原-普通,0.0,大宮(埼玉)
160,917,さいたま新都心,2021-11-30 00:05:00,2021-11-30 07:01:00,06-58-小田原-普通,1.0,さいたま新都心
161,918,浦和,2021-11-30 00:09:00,2021-11-30 07:05:00,06-58-小田原-普通,2.0,浦和
162,2565,浦和,2021-11-30 00:10:00,2021-11-30 07:06:00,06-58-小田原-普通,2.5,浦和
163,919,赤羽,2021-11-30 00:18:00,2021-11-30 07:14:00,06-58-小田原-普通,3.0,赤羽
164,2566,赤羽,2021-11-30 00:19:00,2021-11-30 07:15:00,06-58-小田原-普通,3.5,赤羽
165,920,尾久,2021-11-30 00:23:00,2021-11-30 07:19:00,06-58-小田原-普通,4.0,尾久/池袋
166,2567,尾久,2021-11-30 00:24:00,2021-11-30 07:20:00,06-58-小田原-普通,4.5,尾久/池袋
167,921,上野,2021-11-30 00:30:00,2021-11-30 07:26:00,06-58-小田原-普通,5.0,上野/新宿
168,2568,上野,2021-11-30 00:33:00,2021-11-30 07:29:00,06-58-小田原-普通,5.5,上野/新宿
169,922,東京,2021-11-30 00:38:00,2021-11-30 07:34:00,06-58-小田原-普通,6.0,東京/渋谷
170,2569,東京,2021-11-30 00:39:00,2021-11-30 07:35:00,06-58-小田原-普通,6.5,東京/渋谷
171,923,新橋,2021-11-30 00:41:00,2021-11-30 07:37:00,06-58-小田原-普通,7.0,新橋/恵比寿
172,2570,新橋,2021-11-30 00:42:00,2021-11-30 07:38:00,06-58-小田原-普通,7.5,新橋/恵比寿
173,924,品川,2021-11-30 00:47:00,2021-11-30 07:43:00,06-58-小田原-普通,8.0,品川/大崎
174,2571,品川,2021-11-30 00:48:00,2021-11-30 07:44:00,06-58-小田原-普通,8.5,品川/大崎
175,925,川崎,2021-11-30 00:57:00,2021-11-30 07:53:00,06-58-小田原-普通,9.0,川崎/武蔵小杉
176,926,横浜,2021-11-30 01:05:00,2021-11-30 08:01:00,06-58-小田原-普通,10.0,横浜
177,2572,横浜,2021-11-30 01:06:00,2021-11-30 08:02:00,06-58-小田原-普通,10.5,横浜
178,927,戸塚,2021-11-30 01:16:00,2021-11-30 08:12:00,06-58-小田原-普通,11.0,戸塚
179,928,大船,2021-11-30 01:21:00,2021-11-30 08:17:00,06-58-小田原-普通,12.0,大船
180,2573,大船,2021-11-30 01:22:00,2021-11-30 08:18:00,06-58-小田原-普通,12.5,大船
181,929,藤沢,2021-11-30 01:26:00,2021-11-30 08:22:00,06-58-小田原-普通,13.0,藤沢
182,2574,藤沢,2021-11-30 01:27:00,2021-11-30 08:23:00,06-58-小田原-普通,13.5,藤沢
183,930,辻堂,2021-11-30 01:30:00,2021-11-30 08:26:00,06-58-小田原-普通,14.0,辻堂
184,931,茅ケ崎,2021-11-30 01:34:00,2021-11-30 08:30:00,06-58-小田原-普通,15.0,茅ケ崎
185,932,平塚,2021-11-30 01:39:00,2021-11-30 08:35:00,06-58-小田原-普通,16.0,平塚
186,2575,平塚,2021-11-30 01:40:00,2021-11-30 08:36:00,06-58-小田原-普通,16.5,平塚
